TF	Target
YAL051W	YIL056W
YAL051W	YIL057C
YAL051W	YIL062C
YAL051W	YIL069C
YAL051W	YIL076W
YAL051W	YIL099W
YAL051W	YIL101C
YAL051W	YIL113W
YAL051W	YIL114C
YAL051W	YIL118W
YAL051W	YIL119C
YAL051W	YIL120W
YAL051W	YIL122W
YAL051W	YIL124W
YAL051W	YIL139C
YAL051W	YIL148W
YAL051W	YIL149C
YAL051W	YIL159W
YAL051W	YIL160C
YAL051W	YIR018C-A
YAL051W	YJL006C
YAL051W	YJL026W
YAL051W	YJL042W
YAL051W	YJL044C
YAL051W	YJL045W
YAL051W	YJL048C
YAL051W	YJL076W
YAL051W	YJL078C
YAL051W	YJL079C
YAL051W	YJL116C
YAL051W	YJL124C
YAL051W	YJL133C-A
YAL051W	YJL133W
YAL051W	YJL141C
YAL051W	YJL150W
YAL051W	YJL151C
YAL051W	YJL153C
YAL051W	YJL167W
YAL051W	YJL176C
YAL051W	YJL179W
YAL051W	YJL180C
YAL051W	YJL189W
YAL051W	YJL190C
YAL051W	YJL194W
YAL051W	YJL196C
YAL051W	YJL200C
YAL051W	YJL210W
YAL051W	YJL212C
YAL051W	YJL222W
YAL051W	YJR019C
YAL051W	YJR039W
YAL051W	YJR060W
YAL051W	YJR069C
YAL051W	YJR071W
YAL051W	YJR096W
YAL051W	YJR104C
YAL051W	YJR105W
YAL051W	YJR113C
YAL051W	YJR115W
YAL051W	YJR127C
YAL051W	YJR144W
YAL051W	YJR148W
YAL051W	YJR150C
YAL051W	YJR152W
YAL051W	YKL007W
YAL051W	YKL016C
YAL051W	YKL044W
YAL051W	YKL051W
YAL051W	YKL052C
YAL051W	YKL053W
YAL051W	YKL062W
YAL051W	YKL063C
YAL051W	YKL065C
YAL051W	YKL067W
YAL051W	YKL085W
YAL051W	YKL086W
YAL051W	YKL087C
YAL051W	YKL093W
YAL051W	YKL094W
YAL051W	YKL096C-B
YAL051W	YKL096W-A
YAL051W	YKL109W
YAL051W	YKL110C
YAL051W	YKL120W
YAL051W	YKL137W
YAL051W	YKL138C
YAL051W	YKL142W
YAL051W	YKL146W
YAL051W	YKL148C
YAL051W	YKL149C
YAL051W	YKL150W
YAL051W	YKL163W
YAL051W	YKL169C
YAL051W	YKL171W
YAL051W	YKL182W
YAL051W	YKL186C
YAL051W	YKL187C
YAL051W	YKL188C
YAL051W	YKL201C
YAL051W	YKL206C
YAL051W	YKL214C
YAL051W	YKL220C
YAL051W	YKR009C
YAL051W	YKR042W
YAL051W	YKR048C
YAL051W	YKR064W
YAL051W	YKR079C
YAL051W	YKR080W
YAL051W	YKR092C
YAL051W	YKR093W
YAL051W	YKR097W
YAL051W	YLL002W
YAL051W	YLL006W
YAL051W	YLL008W
YAL051W	YLL019C
YAL051W	YLL022C
YAL051W	YLL027W
YAL051W	YLL028W
YAL051W	YLL037W
YAL051W	YLL052C
YAL051W	YLL061W
YAL051W	YLR002C
YAL051W	YLR009W
YAL051W	YLR026C
YAL051W	YLR047C
YAL051W	YLR049C
YAL051W	YLR054C
YAL051W	YLR055C
YAL051W	YLR056W
YAL051W	YLR069C
YAL051W	YLR079W
YAL051W	YLR089C
YAL051W	YLR090W
YAL051W	YLR099C
YAL051W	YLR101C
YAL051W	YLR110C
YAL051W	YLR113W
YAL051W	YLR119W
YAL051W	YLR139C
YAL051W	YLR142W
YAL051W	YLR149C
YAL051W	YLR152C
YAL051W	YLR153C
YAL051W	YLR162W
YAL051W	YLR164W
YAL051W	YLR174W
YAL051W	YLR176C
YAL051W	YLR177W
YAL051W	YLR178C
YAL051W	YLR183C
YAL051W	YLR194C
YAL051W	YLR195C
YAL051W	YLR197W
YAL051W	YLR225C
YAL051W	YLR239C
YAL051W	YLR254C
YAL051W	YLR256W
YAL051W	YLR262C
YAL051W	YLR269C
YAL051W	YLR284C
YAL051W	YLR285W
YAL051W	YLR292C
YAL051W	YLR294C
YAL051W	YLR297W
YAL051W	YLR304C
YAL051W	YLR312C
YAL051W	YLR312W-A
YAL051W	YLR327C
YAL051W	YLR344W
YAL051W	YLR351C
YAL051W	YLR355C
YAL051W	YLR373C
YAL051W	YLR375W
YAL051W	YLR377C
YAL051W	YLR401C
YAL051W	YLR402W
YAL051W	YLR403W
YAL051W	YLR412W
YAL051W	YLR436C
YAL051W	YLR437C
YAL051W	YLR438C-A
YAL051W	YLR438W
YAL051W	YLR439W
YAL051W	YLR449W
YAL051W	YLR462W
YAL051W	YML003W
YAL051W	YML004C
YAL051W	YML006C
YAL051W	YML007C-A
YAL051W	YML007W
YAL051W	YML008C
YAL051W	YML042W
YAL051W	YML043C
YAL051W	YML058W
YAL051W	YML059C
YAL051W	YML063W
YAL051W	YML064C
YAL051W	YML072C
YAL051W	YML088W
YAL051W	YML089C
YAL051W	YML091C
YAL051W	YML093W
YAL051W	YML094W
YAL051W	YML100W
YAL051W	YML100W-A
YAL051W	YML101C
YAL051W	YML109W
YAL051W	YML112W
YAL051W	YML114C
YAL051W	YML119W
YAL051W	YML121W
YAL051W	YML123C
YAL051W	YML124C
YAL051W	YML128C
YAL051W	YML130C
YAL051W	YML131W
YAL051W	YMR003W
YAL051W	YMR008C
YAL051W	YMR009W
YAL051W	YMR016C
YAL051W	YMR017W
YAL051W	YMR018W
YAL051W	YMR023C
YAL051W	YMR027W
YAL051W	YMR037C
YAL051W	YMR038C
YAL051W	YMR041C
YAL051W	YMR042W
YAL051W	YMR043W
YAL051W	YMR056C
YAL051W	YMR058W
YAL051W	YMR062C
YAL051W	YMR069W
YAL051W	YMR070W
YAL051W	YMR072W
YAL051W	YMR076C
YAL051W	YMR099C
YAL051W	YMR102C
YAL051W	YMR107W
YAL051W	YMR108W
YAL051W	YMR110C
