Uniprot_ID;Gene_ID;Gene;Function;Essentiality_Y_N;Essentiality_0_1;Essentiality_0_1keeping;Essentiality_0_11notkeeping
P17114;b3730;glmU;Bifunctional glmU protein;E;1;1;1
P06711;b3870;glnA;Glutamine synthetase (EC 6.3.1.2);N;0;1;1
P05826;b2553;glnB;Nitrogen regulatory protein P-II 1;N;0;0;0
P27249;b0167;glnD;[Protein-PII] uridylyltransferase (EC 2.7.7.59);E;1;1;0
P30870;b3053;glnE;Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42);N;0;0;0
P06713;b3868;glnG;Nitrogen regulation protein NR(I);X;0;0;0
P10344;b0811;glnH;Glutamine-binding periplasmic protein precursor;N;0;0;0
P38504;b0450;glnK;Nitrogen regulatory protein P-II 2;N;0;0;0
P06712;b3869;glnL;Nitrogen regulation protein NR(II) (EC 2.7.3.-);X;0;0;0
P10345;b0810;glnP;Glutamine transport system permease protein glnP;E;1;1;0
P10346;b0809;glnQ;Glutamine transport ATP-binding protein glnQ;N;0;0;0
P00962;b0680;glnS;Glutaminyl-tRNA synthetase (EC 6.1.1.18);E;1;1;1
Q59384;b1651;gloA;Lactoylglutathione lyase (EC 4.4.1.5);?;0;0;0
Q47677;b0212;gloB;Probable hydroxyacylglutathione hydrolase (EC 3.1.2.6);N;0;0;0
P13032;b2241;glpA;Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.99.5);N;0;0;0
P13033;b2242;glpB;Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.99.5);N;0;0;0
P13034;b2243;glpC;Anaerobic glycerol-3-phosphate dehydrogenase subunit C;N;0;0;0
P13035;b3426;glpD;Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.99.5);N;0;0;0
P09390;b3425;glpE;Thiosulfate sulfurtransferase glpE (EC 2.8.1.1);X;0;0;0
P11244;b3927;glpF;Glycerol uptake facilitator protein;N;0;0;0
P09391;b3424;glpG;Protein glpG;N;0;0;0
P08859;b3926;glpK;Glycerol kinase (EC 2.7.1.30);N;0;0;0
P09394;b2239;glpQ;Glycerophosphoryl diester phosphodiesterase, periplasmic precursor (EC 3.1.4.46);N;0;0;0
P09392;b3423;glpR;Glycerol-3-phosphate regulon repressor;N;0;0;0
P08194;b2240;glpT;Glycerol-3-phosphate transporter;N;0;0;0
P28860;b3925;glpX;Protein glpX;N;0;0;0
P00891;b0720;gltA;Citrate synthase (EC 4.1.3.7);N;0;1;1
P09831;b3212;gltB;Glutamate synthase [NADPH] large chain precursor (EC 1.4.1.13);N;0;0;0
P09832;b3213;gltD;Glutamate synthase [NADPH] small chain (EC 1.4.1.13);N;0;0;0
P28721;b3214;gltF;Protein gltF precursor;X;0;0;0
P37902;b0655;gltI;Glutamate/aspartate periplasmic binding protein precursor;N;0;0;0
P41074;b0654;gltJ;Glutamate/aspartate transport system permease protein gltJ;N;0;0;0
P41075;b0653;gltK;Glutamate/aspartate transport system permease protein gltK;E;1;1;0
P41076;b0652;gltL;Glutamate/aspartate transport ATP-binding protein gltL;E;1;1;0
P21345;b4077;gltP;Proton glutamate symport protein;N;0;0;0
P19933;b3653;gltS;Sodium/glutamate symport carrier protein;N;0;0;0
P04805;b2400;gltX;Glutamyl-tRNA synthetase (EC 6.1.1.17);E;1;1;1
P31451;b3682;glvB;PTS system, arbutin-like IIB component (EC 2.7.1.69);X;0;0;0
P31452;b3683;glvC;PTS system, arbutin-like IIC component;N;0;0;0
P31450;b3681;glvG;Probable 6-phospho-alpha-glucosidase (EC 3.2.1.122);X;0;0;0
P77364;b0514;glxK;Glycerate kinase 1 (EC 2.7.1.31);N;0;0;0
P77161;b0509;glxR;2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60);N;0;0;0
P00477;b2551;glyA;Serine hydroxymethyltransferase (EC 2.1.2.1);E;1;1;1
P00960;b3560;glyQ;Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14);E;1;1;1
P00961;b3559;glyS;Glycyl-tRNA synthetase beta chain (EC 6.1.1.14);E;1;1;1
P32054;b2053;gmd;GDP-mannose 4,6-dehydratase (EC 4.2.1.47);N;0;0;0
P24234;b3648;gmk;Guanylate kinase (EC 2.7.4.8);E;1;1;1
P00350;b2029;gnd;6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44);N;0;0;0
P52635;;gnsA;GnsA protein;N;0;0;0
P77695;b1550;gnsB;GnsB protein;?;0;0;0
P46859;b3437;gntK;Thermoresistant gluconokinase (EC 2.7.1.12);X;0;0;0
P39373;b4321;gntP;High-affinity gluconate transporter;N;0;0;0
P46860;b3438;gntR;Gluconate utilization system GNT-I transcriptional repressor;X;0;0;0
P39835;b3415;gntT;High-affinity gluconate transporter;N;0;0;0
P46858;b3435;gntU;Low-affinity gluconate transporter;N;0;0;0
P46858;;gntU;Low-affinity gluconate transporter;N;0;0;0
P50457;b1302;goaG;4-aminobutyrate aminotransferase (EC 2.6.1.19);N;0;0;0
P06715;b3500;gor;Glutathione reductase (EC 1.6.4.2);E;1;1;0
P32662;b3385;gph;Phosphoglycolate phosphatase (EC 3.1.3.18);N;0;1;1
P31217;b0755;gpmA;Phosphoglycerate mutase 1 (EC 5.4.2.1);N;0;1;1
P36942;b4395;gpmB;Probable phosphoglycerate mutase 2 (EC 5.4.2.1);N;0;0;0
P25552;b3779;gppA;Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40);N;0;0;0
P37606;b3608;gpsA;Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94);N;0;1;1
P00501;b0238;gpt;Xanthine-guanine phosphoribosyltransferase (EC 2.4.2.22);?;0;0;0
P21346;b3181;greA;Transcription elongation factor greA;N;0;0;0
P30128;b3406;greB;Transcription elongation factor greB;N;0;0;0
P06139;b4143;groL;60 kDa chaperonin;E;1;1;1
P05380;b4142;groS;10 kDa chaperonin;E;1;1;1
P09372;b2614;grpE;GrpE protein;E;1;1;0
P00277;b0849;grxA;Glutaredoxin 1;?;0;0;0
