Gene;Gene_ID;Phenotype;Essentiality_0_1
ARR3;YPR201W;viable;0
ART10;YLR392C;viable;0
ART5;YGR068C;viable;0
ART5;YGR068C;viable;0
ARV1;YLR242C;viable;0
ARX1;YDR101C;viable;0
ARX1;YDR101C;viable;0
ASC1;YMR116C;viable;0
ASE1;YOR058C;viable;0
ASF1;YJL115W;viable;0
ASF1;YJL115W;viable;0
ASF2;YDL197C;viable;0
ASG1;YIL130W;viable;0
ASG1;YIL130W;viable;0
ASG7;YJL170C;viable;0
ASH1;YKL185W;viable;0
ASH1;YKL185W;viable;0
ASI1;YMR119W;viable;0
ASI2;YNL159C;viable;0
ASI2;YNL159C;viable;0
ASI3;YNL008C;viable;0
ASK10;YGR097W;viable;0
ASM4;YDL088C;viable;0
ASM4;YDL088C;viable;0
ASN1;YPR145W;viable;0
ASN2;YGR124W;viable;0
ASP1;YDR321W;viable;0
ASR1;YPR093C;viable;0
ASR1;YPR093C;viable;0
AST1;YBL069W;viable;0
AST1;YBL069W;viable;0
AST2;YER101C;viable;0
ATC1;YDR184C;viable;0
ATE1;YGL017W;viable;0
ATF1;YOR377W;viable;0
ATF2;YGR177C;viable;0
ATG1;YGL180W;viable;0
ATG10;YLL042C;viable;0
ATG11;YPR049C;viable;0
ATG11;YPR049C;viable;0
ATG12;YBR217W;viable;0
ATG12;YBR217W;viable;0
ATG13;YPR185W;viable;0
ATG14;YBR128C;viable;0
ATG14;YBR128C;viable;0
ATG14;YBR128C;viable;0
ATG15;YCR068W;viable;0
ATG16;YMR159C;viable;0
ATG17;YLR423C;viable;0
ATG18;YFR021W;viable;0
ATG18;YFR021W;viable;0
ATG19;YOL082W;viable;0
ATG19;YOL082W;viable;0
ATG2;YNL242W;viable;0
ATG20;YDL113C;viable;0
ATG20;YDL113C;viable;0
ATG21;YPL100W;viable;0
ATG21;YPL100W;viable;0
ATG22;YCL038C;viable;0
ATG22;YCL038C;viable;0
ATG23;YLR431C;viable;0
ATG23;YLR431C;viable;0
